"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"01.01.2020 08:15 - 01.01.2020 08:30","44929","40451"
"01.01.2020 08:30 - 01.01.2020 08:45","45175","40596"
"01.01.2020 08:45 - 01.01.2020 09:00","45549","41182"
"01.01.2020 09:00 - 01.01.2020 09:15","46856","41867"
"01.01.2020 09:15 - 01.01.2020 09:30","47779","42459"
"01.01.2020 09:30 - 01.01.2020 09:45","48232","43016"
"01.01.2020 09:45 - 01.01.2020 10:00","48352","43939"
"01.01.2020 10:00 - 01.01.2020 10:15","49097","44349"
"01.01.2020 10:15 - 01.01.2020 10:30","49594","44736"
"01.01.2020 10:30 - 01.01.2020 10:45","49889","45236"
"01.01.2020 10:45 - 01.01.2020 11:00","50337","45743"
"01.01.2020 11:00 - 01.01.2020 11:15","50903","46484"
"01.01.2020 11:15 - 01.01.2020 11:30","51335","47033"
"01.01.2020 11:30 - 01.01.2020 11:45","51868","47440"
"01.01.2020 11:45 - 01.01.2020 12:00","52074","47651"
"01.01.2020 12:00 - 01.01.2020 12:15","51957","48341"
"01.01.2020 12:15 - 01.01.2020 12:30","51630","48609"
"01.01.2020 12:30 - 01.01.2020 12:45","51370","48580"
"01.01.2020 12:45 - 01.01.2020 13:00","51196","48440"
"01.01.2020 13:00 - 01.01.2020 13:15","50778","48470"
"01.01.2020 13:15 - 01.01.2020 13:30","50268","48274"
"01.01.2020 13:30 - 01.01.2020 13:45","49986","48200"
"01.01.2020 13:45 - 01.01.2020 14:00","49563","47949"
"01.01.2020 14:00 - 01.01.2020 14:15","49407","47145"
"01.01.2020 14:15 - 01.01.2020 14:30","49239","46796"
"01.01.2020 14:30 - 01.01.2020 14:45","48963","46291"
"01.01.2020 14:45 - 01.01.2020 15:00","48935","46269"
"01.01.2020 15:00 - 01.01.2020 15:15","49316","46654"
"01.01.2020 15:15 - 01.01.2020 15:30","48998","46561"
"01.01.2020 15:30 - 01.01.2020 15:45","49194","46739"
"01.01.2020 15:45 - 01.01.2020 16:00","49162","47094"
"01.01.2020 16:00 - 01.01.2020 16:15","49598","47826"
"01.01.2020 16:15 - 01.01.2020 16:30","49770","48684"
"01.01.2020 16:30 - 01.01.2020 16:45","50561","50150"
"01.01.2020 16:45 - 01.01.2020 17:00","51369","51612"
"01.01.2020 17:00 - 01.01.2020 17:15","52657","52884"
"01.01.2020 17:15 - 01.01.2020 17:30","53311","53360"
"01.01.2020 17:30 - 01.01.2020 17:45","53810","53870"
"01.01.2020 17:45 - 01.01.2020 18:00","54277","54194"
"01.01.2020 18:00 - 01.01.2020 18:15","54798","54616"
"01.01.2020 18:15 - 01.01.2020 18:30","55139","54442"
"01.01.2020 18:30 - 01.01.2020 18:45","54912","54524"
"01.01.2020 18:45 - 01.01.2020 19:00","54813","54073"
"01.01.2020 19:00 - 01.01.2020 19:15","54944","53987"
"01.01.2020 19:15 - 01.01.2020 19:30","54482","53302"
"01.01.2020 19:30 - 01.01.2020 19:45","54240","52988"
"01.01.2020 19:45 - 01.01.2020 20:00","53939","52399"
"01.01.2020 20:00 - 01.01.2020 20:15","53459","51938"
"01.01.2020 20:15 - 01.01.2020 20:30","52872","51374"
"01.01.2020 20:30 - 01.01.2020 20:45","52471","50676"
"01.01.2020 20:45 - 01.01.2020 21:00","52034","50133"
"01.01.2020 21:00 - 01.01.2020 21:15","51770","49954"
"01.01.2020 21:15 - 01.01.2020 21:30","51425","49631"
"01.01.2020 21:30 - 01.01.2020 21:45","51132","49632"
"01.01.2020 21:45 - 01.01.2020 22:00","51089","49235"
"01.01.2020 22:00 - 01.01.2020 22:15","51570","49666"
"01.01.2020 22:15 - 01.01.2020 22:30","51145","49141"
"01.01.2020 22:30 - 01.01.2020 22:45","50457","48396"
"01.01.2020 22:45 - 01.01.2020 23:00","49852","47604"
"01.01.2020 23:00 - 01.01.2020 23:15","49023","46852"
"01.01.2020 23:15 - 01.01.2020 23:30","48453","46311"
"01.01.2020 23:30 - 01.01.2020 23:45","47696","45524"
"01.01.2020 23:45 - 02.01.2020 00:00","46984","44869"
"02.01.2020 00:00 - 02.01.2020 00:15","47351","44817"
"02.01.2020 00:15 - 02.01.2020 00:30","46465","44643"
"02.01.2020 00:30 - 02.01.2020 00:45","46067","44420"
"02.01.2020 00:45 - 02.01.2020 01:00","45692","43835"
"02.01.2020 01:00 - 02.01.2020 01:15","45164","43356"
"02.01.2020 01:15 - 02.01.2020 01:30","44949","43039"
"02.01.2020 01:30 - 02.01.2020 01:45","44661","42763"
"02.01.2020 01:45 - 02.01.2020 02:00","44338","42728"
"02.01.2020 02:00 - 02.01.2020 02:15","44275","42529"
"02.01.2020 02:15 - 02.01.2020 02:30","44445","42286"
"02.01.2020 02:30 - 02.01.2020 02:45","44482","42309"
"02.01.2020 02:45 - 02.01.2020 03:00","44446","42259"
"02.01.2020 03:00 - 02.01.2020 03:15","44575","42466"
"02.01.2020 03:15 - 02.01.2020 03:30","44566","42167"
"02.01.2020 03:30 - 02.01.2020 03:45","44721","42345"
"02.01.2020 03:45 - 02.01.2020 04:00","44944","42588"
"02.01.2020 04:00 - 02.01.2020 04:15","45193","42966"
"02.01.2020 04:15 - 02.01.2020 04:30","45481","43167"
"02.01.2020 04:30 - 02.01.2020 04:45","45780","43721"
"02.01.2020 04:45 - 02.01.2020 05:00","46469","44147"
"02.01.2020 05:00 - 02.01.2020 05:15","47489","45015"
"02.01.2020 05:15 - 02.01.2020 05:30","48045","45348"
"02.01.2020 05:30 - 02.01.2020 05:45","49130","46232"
"02.01.2020 05:45 - 02.01.2020 06:00","50462","46827"
"02.01.2020 06:00 - 02.01.2020 06:15","52970","48320"
"02.01.2020 06:15 - 02.01.2020 06:30","54260","49682"
"02.01.2020 06:30 - 02.01.2020 06:45","55841","50907"
"02.01.2020 06:45 - 02.01.2020 07:00","57163","52364"
"02.01.2020 07:00 - 02.01.2020 07:15","58780","53784"
"02.01.2020 07:15 - 02.01.2020 07:30","59746","54892"
"02.01.2020 07:30 - 02.01.2020 07:45","60418","55959"
"02.01.2020 07:45 - 02.01.2020 08:00","61149","56824"
"02.01.2020 08:00 - 02.01.2020 08:15","61837","58069"
"02.01.2020 08:15 - 02.01.2020 08:30","61887","58387"
"02.01.2020 08:30 - 02.01.2020 08:45","62354","59051"
"02.01.2020 08:45 - 02.01.2020 09:00","62561","59663"
"02.01.2020 09:00 - 02.01.2020 09:15","62508","60301"
"02.01.2020 09:15 - 02.01.2020 09:30","62535","60682"
"02.01.2020 09:30 - 02.01.2020 09:45","62867","60945"
"02.01.2020 09:45 - 02.01.2020 10:00","62930","61094"
"02.01.2020 10:00 - 02.01.2020 10:15","63138","61475"
"02.01.2020 10:15 - 02.01.2020 10:30","63386","61505"
"02.01.2020 10:30 - 02.01.2020 10:45","63143","61890"
"02.01.2020 10:45 - 02.01.2020 11:00","63206","62232"
"02.01.2020 11:00 - 02.01.2020 11:15","63436","62270"
"02.01.2020 11:15 - 02.01.2020 11:30","63523","62518"
"02.01.2020 11:30 - 02.01.2020 11:45","63644","62734"
"02.01.2020 11:45 - 02.01.2020 12:00","63614","62939"
"02.01.2020 12:00 - 02.01.2020 12:15","63544","63043"
"02.01.2020 12:15 - 02.01.2020 12:30","63305","62831"
"02.01.2020 12:30 - 02.01.2020 12:45","63235","62889"
"02.01.2020 12:45 - 02.01.2020 13:00","63106","62645"
"02.01.2020 13:00 - 02.01.2020 13:15","62907","62431"
"02.01.2020 13:15 - 02.01.2020 13:30","62694","62231"
"02.01.2020 13:30 - 02.01.2020 13:45","62603","61902"
"02.01.2020 13:45 - 02.01.2020 14:00","62091","61390"
"02.01.2020 14:00 - 02.01.2020 14:15","62087","61204"
"02.01.2020 14:15 - 02.01.2020 14:30","61979","61132"
"02.01.2020 14:30 - 02.01.2020 14:45","61790","60978"
"02.01.2020 14:45 - 02.01.2020 15:00","61750","60720"
"02.01.2020 15:00 - 02.01.2020 15:15","61753","61020"
"02.01.2020 15:15 - 02.01.2020 15:30","61638","60962"
"02.01.2020 15:30 - 02.01.2020 15:45","61678","61057"
"02.01.2020 15:45 - 02.01.2020 16:00","61319","61252"
"02.01.2020 16:00 - 02.01.2020 16:15","61632","61746"
"02.01.2020 16:15 - 02.01.2020 16:30","61735","62376"
"02.01.2020 16:30 - 02.01.2020 16:45","62282","63219"
"02.01.2020 16:45 - 02.01.2020 17:00","63043","64358"
"02.01.2020 17:00 - 02.01.2020 17:15","63980","65390"
"02.01.2020 17:15 - 02.01.2020 17:30","64305","65768"
"02.01.2020 17:30 - 02.01.2020 17:45","64515","66123"
"02.01.2020 17:45 - 02.01.2020 18:00","64650","66279"
"02.01.2020 18:00 - 02.01.2020 18:15","64575","66214"
"02.01.2020 18:15 - 02.01.2020 18:30","64358","66143"
"02.01.2020 18:30 - 02.01.2020 18:45","64245","65962"
"02.01.2020 18:45 - 02.01.2020 19:00","63953","65752"
"02.01.2020 19:00 - 02.01.2020 19:15","63772","65337"
"02.01.2020 19:15 - 02.01.2020 19:30","63051","64857"
"02.01.2020 19:30 - 02.01.2020 19:45","62705","64496"
"02.01.2020 19:45 - 02.01.2020 20:00","62258","63879"
"02.01.2020 20:00 - 02.01.2020 20:15","61192","62665"
"02.01.2020 20:15 - 02.01.2020 20:30","60108","61144"
"02.01.2020 20:30 - 02.01.2020 20:45","59392","60242"
"02.01.2020 20:45 - 02.01.2020 21:00","58613","59444"
"02.01.2020 21:00 - 02.01.2020 21:15","57976","58702"
"02.01.2020 21:15 - 02.01.2020 21:30","57294","58389"
"02.01.2020 21:30 - 02.01.2020 21:45","56603","57652"
"02.01.2020 21:45 - 02.01.2020 22:00","56292","57326"
"02.01.2020 22:00 - 02.01.2020 22:15","55945","57472"
"02.01.2020 22:15 - 02.01.2020 22:30","55306","56703"
"02.01.2020 22:30 - 02.01.2020 22:45","54507","55642"
"02.01.2020 22:45 - 02.01.2020 23:00","53710","54823"
"02.01.2020 23:00 - 02.01.2020 23:15","52939","53950"
"02.01.2020 23:15 - 02.01.2020 23:30","51984","52985"
"02.01.2020 23:30 - 02.01.2020 23:45","51195","52154"
"02.01.2020 23:45 - 03.01.2020 00:00","50635","51534"
"03.01.2020 00:00 - 03.01.2020 00:15","50766","50419"
"03.01.2020 00:15 - 03.01.2020 00:30","50508","49676"
"03.01.2020 00:30 - 03.01.2020 00:45","50062","49555"
"03.01.2020 00:45 - 03.01.2020 01:00","49525","48897"
"03.01.2020 01:00 - 03.01.2020 01:15","48947","48635"
"03.01.2020 01:15 - 03.01.2020 01:30","48497","48175"
"03.01.2020 01:30 - 03.01.2020 01:45","48283","48072"
"03.01.2020 01:45 - 03.01.2020 02:00","47931","47690"
"03.01.2020 02:00 - 03.01.2020 02:15","47638","47775"
"03.01.2020 02:15 - 03.01.2020 02:30","47713","47258"
"03.01.2020 02:30 - 03.01.2020 02:45","47477","47259"
"03.01.2020 02:45 - 03.01.2020 03:00","47526","47136"
"03.01.2020 03:00 - 03.01.2020 03:15","47464","47177"
"03.01.2020 03:15 - 03.01.2020 03:30","47651","47157"
"03.01.2020 03:30 - 03.01.2020 03:45","47626","47228"
"03.01.2020 03:45 - 03.01.2020 04:00","47986","47449"
"03.01.2020 04:00 - 03.01.2020 04:15","47949","47706"
"03.01.2020 04:15 - 03.01.2020 04:30","48260","47933"
"03.01.2020 04:30 - 03.01.2020 04:45","48345","48348"
"03.01.2020 04:45 - 03.01.2020 05:00","48972","48638"
"03.01.2020 05:00 - 03.01.2020 05:15","49914","49439"
"03.01.2020 05:15 - 03.01.2020 05:30","50070","49833"
"03.01.2020 05:30 - 03.01.2020 05:45","50950","50572"
"03.01.2020 05:45 - 03.01.2020 06:00","51803","51346"
"03.01.2020 06:00 - 03.01.2020 06:15","54085","52643"
"03.01.2020 06:15 - 03.01.2020 06:30","55224","53699"
"03.01.2020 06:30 - 03.01.2020 06:45","56687","54741"
"03.01.2020 06:45 - 03.01.2020 07:00","57738","55753"
"03.01.2020 07:00 - 03.01.2020 07:15","59489","56831"
"03.01.2020 07:15 - 03.01.2020 07:30","60489","57787"
"03.01.2020 07:30 - 03.01.2020 07:45","62691","59020"
"03.01.2020 07:45 - 03.01.2020 08:00","63505","59887"
"03.01.2020 08:00 - 03.01.2020 08:15","64150","60755"
"03.01.2020 08:15 - 03.01.2020 08:30","64130","61296"
"03.01.2020 08:30 - 03.01.2020 08:45","64523","61774"
"03.01.2020 08:45 - 03.01.2020 09:00","64759","62058"
"03.01.2020 09:00 - 03.01.2020 09:15","64335","62691"
"03.01.2020 09:15 - 03.01.2020 09:30","64519","63172"
"03.01.2020 09:30 - 03.01.2020 09:45","64783","63697"
"03.01.2020 09:45 - 03.01.2020 10:00","64763","63849"
"03.01.2020 10:00 - 03.01.2020 10:15","64937","64230"
"03.01.2020 10:15 - 03.01.2020 10:30","65385","64386"
"03.01.2020 10:30 - 03.01.2020 10:45","65049","64485"
"03.01.2020 10:45 - 03.01.2020 11:00","64994","64684"
"03.01.2020 11:00 - 03.01.2020 11:15","65187","65360"
"03.01.2020 11:15 - 03.01.2020 11:30","65274","65729"
"03.01.2020 11:30 - 03.01.2020 11:45","65381","65993"
"03.01.2020 11:45 - 03.01.2020 12:00","65343","66039"
"03.01.2020 12:00 - 03.01.2020 12:15","65239","66127"
"03.01.2020 12:15 - 03.01.2020 12:30","64809","66001"
"03.01.2020 12:30 - 03.01.2020 12:45","64801","65766"
"03.01.2020 12:45 - 03.01.2020 13:00","64594","65448"
"03.01.2020 13:00 - 03.01.2020 13:15","64260","65191"
"03.01.2020 13:15 - 03.01.2020 13:30","63692","64689"
"03.01.2020 13:30 - 03.01.2020 13:45","63185","64441"
"03.01.2020 13:45 - 03.01.2020 14:00","62664","63639"
"03.01.2020 14:00 - 03.01.2020 14:15","62400","63927"
"03.01.2020 14:15 - 03.01.2020 14:30","62295","63427"
"03.01.2020 14:30 - 03.01.2020 14:45","62161","63304"
"03.01.2020 14:45 - 03.01.2020 15:00","61871","63143"
"03.01.2020 15:00 - 03.01.2020 15:15","61901","63056"
"03.01.2020 15:15 - 03.01.2020 15:30","61705","62922"
"03.01.2020 15:30 - 03.01.2020 15:45","61729","62948"
"03.01.2020 15:45 - 03.01.2020 16:00","61521","62798"
"03.01.2020 16:00 - 03.01.2020 16:15","61734","63230"
"03.01.2020 16:15 - 03.01.2020 16:30","61814","63208"
"03.01.2020 16:30 - 03.01.2020 16:45","62636","63942"
"03.01.2020 16:45 - 03.01.2020 17:00","63261","64793"
"03.01.2020 17:00 - 03.01.2020 17:15","64085","65643"
"03.01.2020 17:15 - 03.01.2020 17:30","64455","65803"
"03.01.2020 17:30 - 03.01.2020 17:45","64507","65861"
"03.01.2020 17:45 - 03.01.2020 18:00","64451","65926"
"03.01.2020 18:00 - 03.01.2020 18:15","64437","66005"
"03.01.2020 18:15 - 03.01.2020 18:30","64440","65613"
"03.01.2020 18:30 - 03.01.2020 18:45","64071","65460"
"03.01.2020 18:45 - 03.01.2020 19:00","63675","65146"
"03.01.2020 19:00 - 03.01.2020 19:15","63509","64562"
"03.01.2020 19:15 - 03.01.2020 19:30","62679","64046"
"03.01.2020 19:30 - 03.01.2020 19:45","62314","63466"
"03.01.2020 19:45 - 03.01.2020 20:00","62015","62593"
"03.01.2020 20:00 - 03.01.2020 20:15","60648","61257"
"03.01.2020 20:15 - 03.01.2020 20:30","59597","60325"
"03.01.2020 20:30 - 03.01.2020 20:45","58816","59534"
"03.01.2020 20:45 - 03.01.2020 21:00","57966","58564"
"03.01.2020 21:00 - 03.01.2020 21:15","57224","57453"
"03.01.2020 21:15 - 03.01.2020 21:30","56725","57011"
"03.01.2020 21:30 - 03.01.2020 21:45","56028","56294"
"03.01.2020 21:45 - 03.01.2020 22:00","55727","55696"
"03.01.2020 22:00 - 03.01.2020 22:15","55724","55775"
"03.01.2020 22:15 - 03.01.2020 22:30","55240","55517"
"03.01.2020 22:30 - 03.01.2020 22:45","54539","54797"
"03.01.2020 22:45 - 03.01.2020 23:00","53719","54076"
"03.01.2020 23:00 - 03.01.2020 23:15","52916","53255"
"03.01.2020 23:15 - 03.01.2020 23:30","52083","52393"
"03.01.2020 23:30 - 03.01.2020 23:45","51361","51322"
"03.01.2020 23:45 - 04.01.2020 00:00","50931","50979"
"04.01.2020 00:00 - 04.01.2020 00:15","51481","50478"
"04.01.2020 00:15 - 04.01.2020 00:30","51617","49372"
"04.01.2020 00:30 - 04.01.2020 00:45","51216","48644"
"04.01.2020 00:45 - 04.01.2020 01:00","50841","48611"
"04.01.2020 01:00 - 04.01.2020 01:15","50015","47714"
"04.01.2020 01:15 - 04.01.2020 01:30","49522","47175"
"04.01.2020 01:30 - 04.01.2020 01:45","49474","46607"
"04.01.2020 01:45 - 04.01.2020 02:00","49044","46680"
"04.01.2020 02:00 - 04.01.2020 02:15","48775","46487"
"04.01.2020 02:15 - 04.01.2020 02:30","48558","45948"
"04.01.2020 02:30 - 04.01.2020 02:45","48467","46162"
"04.01.2020 02:45 - 04.01.2020 03:00","48429","45895"
"04.01.2020 03:00 - 04.01.2020 03:15","48354","45717"
"04.01.2020 03:15 - 04.01.2020 03:30","48284","45595"
"04.01.2020 03:30 - 04.01.2020 03:45","48210","45664"
"04.01.2020 03:45 - 04.01.2020 04:00","48234","45947"
"04.01.2020 04:00 - 04.01.2020 04:15","48422","46307"
"04.01.2020 04:15 - 04.01.2020 04:30","48676","46359"
"04.01.2020 04:30 - 04.01.2020 04:45","48742","46743"
"04.01.2020 04:45 - 04.01.2020 05:00","48546","46765"
"04.01.2020 05:00 - 04.01.2020 05:15","48793","47022"
"04.01.2020 05:15 - 04.01.2020 05:30","48600","47144"
"04.01.2020 05:30 - 04.01.2020 05:45","48579","47106"
"04.01.2020 05:45 - 04.01.2020 06:00","48493","47111"
"04.01.2020 06:00 - 04.01.2020 06:15","48286","47129"
"04.01.2020 06:15 - 04.01.2020 06:30","48589","47220"
"04.01.2020 06:30 - 04.01.2020 06:45","49117","47576"
"04.01.2020 06:45 - 04.01.2020 07:00","49584","48240"
"04.01.2020 07:00 - 04.01.2020 07:15","50076","49226"
"04.01.2020 07:15 - 04.01.2020 07:30","50249","49794"
"04.01.2020 07:30 - 04.01.2020 07:45","51297","50937"
"04.01.2020 07:45 - 04.01.2020 08:00","52348","51750"
"04.01.2020 08:00 - 04.01.2020 08:15","53154","52680"
"04.01.2020 08:15 - 04.01.2020 08:30","54186","53108"
"04.01.2020 08:30 - 04.01.2020 08:45","54548","53817"
"04.01.2020 08:45 - 04.01.2020 09:00","55240","54752"
"04.01.2020 09:00 - 04.01.2020 09:15","55928","55913"
"04.01.2020 09:15 - 04.01.2020 09:30","56569","56655"
"04.01.2020 09:30 - 04.01.2020 09:45","56794","57323"
"04.01.2020 09:45 - 04.01.2020 10:00","56786","58101"
"04.01.2020 10:00 - 04.01.2020 10:15","57190","59046"
"04.01.2020 10:15 - 04.01.2020 10:30","57451","59565"
"04.01.2020 10:30 - 04.01.2020 10:45","57683","60005"
"04.01.2020 10:45 - 04.01.2020 11:00","57601","60446"
"04.01.2020 11:00 - 04.01.2020 11:15","57832","60659"
"04.01.2020 11:15 - 04.01.2020 11:30","58250","61232"
"04.01.2020 11:30 - 04.01.2020 11:45","58695","61758"
"04.01.2020 11:45 - 04.01.2020 12:00","58654","61950"
"04.01.2020 12:00 - 04.01.2020 12:15","58767","61967"
"04.01.2020 12:15 - 04.01.2020 12:30","58545","62309"
"04.01.2020 12:30 - 04.01.2020 12:45","58407","62470"
"04.01.2020 12:45 - 04.01.2020 13:00","58161","62003"
"04.01.2020 13:00 - 04.01.2020 13:15","57669","61581"
"04.01.2020 13:15 - 04.01.2020 13:30","57406","61111"
"04.01.2020 13:30 - 04.01.2020 13:45","57028","60682"
"04.01.2020 13:45 - 04.01.2020 14:00","56527","60255"
"04.01.2020 14:00 - 04.01.2020 14:15","56260","60209"
"04.01.2020 14:15 - 04.01.2020 14:30","56000","60077"
"04.01.2020 14:30 - 04.01.2020 14:45","56052","59570"
"04.01.2020 14:45 - 04.01.2020 15:00","55693","59155"
"04.01.2020 15:00 - 04.01.2020 15:15","55929","59590"
"04.01.2020 15:15 - 04.01.2020 15:30","55694","59484"
"04.01.2020 15:30 - 04.01.2020 15:45","55897","59227"
"04.01.2020 15:45 - 04.01.2020 16:00","56130","59240"
"04.01.2020 16:00 - 04.01.2020 16:15","56401","59798"
"04.01.2020 16:15 - 04.01.2020 16:30","56449","60108"
"04.01.2020 16:30 - 04.01.2020 16:45","57569","60774"
"04.01.2020 16:45 - 04.01.2020 17:00","58366","61830"
"04.01.2020 17:00 - 04.01.2020 17:15","59523","62567"
"04.01.2020 17:15 - 04.01.2020 17:30","60052","63310"
"04.01.2020 17:30 - 04.01.2020 17:45","60369","63484"
"04.01.2020 17:45 - 04.01.2020 18:00","60662","63682"
"04.01.2020 18:00 - 04.01.2020 18:15","61065","63740"
"04.01.2020 18:15 - 04.01.2020 18:30","61043","63519"
"04.01.2020 18:30 - 04.01.2020 18:45","60925","62988"
"04.01.2020 18:45 - 04.01.2020 19:00","60425","62462"
"04.01.2020 19:00 - 04.01.2020 19:15","60300","62098"
"04.01.2020 19:15 - 04.01.2020 19:30","59695","61238"
"04.01.2020 19:30 - 04.01.2020 19:45","59228","60618"
"04.01.2020 19:45 - 04.01.2020 20:00","58578","59622"
"04.01.2020 20:00 - 04.01.2020 20:15","57565","58701"
"04.01.2020 20:15 - 04.01.2020 20:30","56771","57547"
"04.01.2020 20:30 - 04.01.2020 20:45","56000","56593"
"04.01.2020 20:45 - 04.01.2020 21:00","55085","55693"
"04.01.2020 21:00 - 04.01.2020 21:15","54783","55130"
"04.01.2020 21:15 - 04.01.2020 21:30","54332","54710"
"04.01.2020 21:30 - 04.01.2020 21:45","53912","54376"
"04.01.2020 21:45 - 04.01.2020 22:00","53730","53759"
"04.01.2020 22:00 - 04.01.2020 22:15","54274","53763"
"04.01.2020 22:15 - 04.01.2020 22:30","54038","53303"
"04.01.2020 22:30 - 04.01.2020 22:45","53399","52567"
"04.01.2020 22:45 - 04.01.2020 23:00","52804","52110"
"04.01.2020 23:00 - 04.01.2020 23:15","52031","51058"
"04.01.2020 23:15 - 04.01.2020 23:30","51385","50317"
"04.01.2020 23:30 - 04.01.2020 23:45","50656","49654"
"04.01.2020 23:45 - 05.01.2020 00:00","49935","48925"
"05.01.2020 00:00 - 05.01.2020 00:15","43928","47745"
"05.01.2020 00:15 - 05.01.2020 00:30","43441","47110"
"05.01.2020 00:30 - 05.01.2020 00:45","43041","46799"
"05.01.2020 00:45 - 05.01.2020 01:00","42741","46222"
"05.01.2020 01:00 - 05.01.2020 01:15","41745","45321"
"05.01.2020 01:15 - 05.01.2020 01:30","41590","44769"
"05.01.2020 01:30 - 05.01.2020 01:45","41211","44546"
"05.01.2020 01:45 - 05.01.2020 02:00","41113","44390"
"05.01.2020 02:00 - 05.01.2020 02:15","40897","44497"
"05.01.2020 02:15 - 05.01.2020 02:30","40771","44353"
"05.01.2020 02:30 - 05.01.2020 02:45","40489","44015"
"05.01.2020 02:45 - 05.01.2020 03:00","40516","43667"
"05.01.2020 03:00 - 05.01.2020 03:15","40299","43448"
"05.01.2020 03:15 - 05.01.2020 03:30","40275","43297"
"05.01.2020 03:30 - 05.01.2020 03:45","40168","42990"
"05.01.2020 03:45 - 05.01.2020 04:00","40223","42870"
"05.01.2020 04:00 - 05.01.2020 04:15","40443","43255"
"05.01.2020 04:15 - 05.01.2020 04:30","40554","43302"
"05.01.2020 04:30 - 05.01.2020 04:45","40463","42956"
"05.01.2020 04:45 - 05.01.2020 05:00","40341","42994"
"05.01.2020 05:00 - 05.01.2020 05:15","40614","43080"
"05.01.2020 05:15 - 05.01.2020 05:30","40275","42877"
"05.01.2020 05:30 - 05.01.2020 05:45","40048","42535"
"05.01.2020 05:45 - 05.01.2020 06:00","40028","42060"
"05.01.2020 06:00 - 05.01.2020 06:15","39967","41660"
"05.01.2020 06:15 - 05.01.2020 06:30","39635","41509"
"05.01.2020 06:30 - 05.01.2020 06:45","39728","41703"
"05.01.2020 06:45 - 05.01.2020 07:00","40118","42170"
"05.01.2020 07:00 - 05.01.2020 07:15","40899","42696"
"05.01.2020 07:15 - 05.01.2020 07:30","41309","43063"
"05.01.2020 07:30 - 05.01.2020 07:45","42030","43057"
"05.01.2020 07:45 - 05.01.2020 08:00","42699","43931"
"05.01.2020 08:00 - 05.01.2020 08:15","43199","44449"
"05.01.2020 08:15 - 05.01.2020 08:30","43881","44956"
"05.01.2020 08:30 - 05.01.2020 08:45","44450","45745"
"05.01.2020 08:45 - 05.01.2020 09:00","44961","46539"
"05.01.2020 09:00 - 05.01.2020 09:15","45840","47555"
"05.01.2020 09:15 - 05.01.2020 09:30","46778","48314"
"05.01.2020 09:30 - 05.01.2020 09:45","47231","49140"
"05.01.2020 09:45 - 05.01.2020 10:00","47830","49957"
"05.01.2020 10:00 - 05.01.2020 10:15","48253","50584"
"05.01.2020 10:15 - 05.01.2020 10:30","48912","51192"
"05.01.2020 10:30 - 05.01.2020 10:45","49526","52041"
"05.01.2020 10:45 - 05.01.2020 11:00","49938","52506"
"05.01.2020 11:00 - 05.01.2020 11:15","50530","53174"
"05.01.2020 11:15 - 05.01.2020 11:30","51092","54055"
"05.01.2020 11:30 - 05.01.2020 11:45","51802","54465"
"05.01.2020 11:45 - 05.01.2020 12:00","51937","54575"
"05.01.2020 12:00 - 05.01.2020 12:15","51684","54870"
